Order_ID,Product_ID,Sales,Quantity,Discount,Profit,Order_Date,Ship_Date,Ship_Mode,Customer ID,Category,Sub-Category,Product_Name,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Year,Month,YearMonth,Profit_Margin
CA-2016-152156,FUR-BO-10001798,261.96,2,0,41.9136,08-11-2023,11-11-2023,Second Class,CG-12520,Furniture,Bookcases,Bush Somerset Collection Bookcase,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,2023,11,2023-11,0.16
CA-2016-152156,FUR-CH-10000454,731.94,3,0,219.582,08-11-2023,11-11-2023,Second Class,CG-12520,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,2023,11,2023-11,0.3
CA-2016-138688,OFF-LA-10000240,14.62,2,0,6.8714,12-06-2023,16-06-2023,Second Class,DV-13045,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,2023,6,2023-06,0.47
US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.031,11-10-2022,18-10-2022,Standard Class,SO-20335,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,2022,10,2022-10,-0.4
US-2015-108966,OFF-ST-10000760,22.368,2,0.2,2.5164,11-10-2022,18-10-2022,Standard Class,SO-20335,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,2022,10,2022-10,0.1125
CA-2014-115812,FUR-FU-10001487,48.86,7,0,14.1694,09-06-2021,14-06-2021,Standard Class,BH-11710,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.29
CA-2014-115812,OFF-AR-10002833,7.28,4,0,1.9656,09-06-2021,14-06-2021,Standard Class,BH-11710,Office Supplies,Art,Newell 322,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.27
CA-2014-115812,TEC-PH-10002275,907.152,6,0.2,90.7152,09-06-2021,14-06-2021,Standard Class,BH-11710,Technology,Phones,Mitel 5320 IP Phone VoIP phone,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.1
CA-2014-115812,OFF-BI-10003910,18.504,3,0.2,5.7825,09-06-2021,14-06-2021,Standard Class,BH-11710,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.3125
CA-2014-115812,OFF-AP-10002892,114.9,5,0,34.47,09-06-2021,14-06-2021,Standard Class,BH-11710,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.3
CA-2014-115812,FUR-TA-10001539,1706.184,9,0.2,85.3092,09-06-2021,14-06-2021,Standard Class,BH-11710,Furniture,Tables,Chromcraft Rectangular Conference Tables,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.05
CA-2014-115812,TEC-PH-10002033,911.424,4,0.2,68.3568,09-06-2021,14-06-2021,Standard Class,BH-11710,Technology,Phones,Konftel 250 Conference phone - Charcoal black,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,2021,6,2021-06,0.075
CA-2017-114412,OFF-PA-10002365,15.552,3,0.2,5.4432,15-04-2024,20-04-2024,Standard Class,AA-10480,Office Supplies,Paper,Xerox 1967,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,2024,4,2024-04,0.35
CA-2016-161389,OFF-BI-10003656,407.976,3,0.2,132.5922,05-12-2023,10-12-2023,Standard Class,IM-15070,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,2023,12,2023-12,0.325
US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.858,22-11-2022,26-11-2022,Standard Class,HP-14815,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,2022,11,2022-11,-1.8
US-2015-118983,OFF-BI-10000756,2.544,3,0.8,-3.816,22-11-2022,26-11-2022,Standard Class,HP-14815,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,2022,11,2022-11,-1.5
CA-2014-105893,OFF-ST-10004186,665.88,6,0,13.3176,11-11-2021,18-11-2021,Standard Class,PK-19075,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,2021,11,2021-11,0.02
CA-2014-167164,OFF-ST-10000107,55.5,2,0,9.99,13-05-2021,15-05-2021,Second Class,AG-10270,Office Supplies,Storage,Fellowes Super Stor/Drawer,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,2021,5,2021-05,0.18
CA-2014-143336,OFF-AR-10003056,8.56,2,0,2.4824,27-08-2021,01-09-2021,Second Class,ZD-21925,Office Supplies,Art,Newell 341,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,2021,8,2021-08,0.29
CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.011,27-08-2021,01-09-2021,Second Class,ZD-21925,Technology,Phones,Cisco SPA 501G IP Phone,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,2021,8,2021-08,0.075
CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.384,27-08-2021,01-09-2021,Second Class,ZD-21925,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,2021,8,2021-08,0.325
CA-2016-137330,OFF-AR-10000246,19.46,7,0,5.0596,09-12-2023,13-12-2023,Standard Class,KB-16585,Office Supplies,Art,Newell 318,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,2023,12,2023-12,0.26
CA-2016-137330,OFF-AP-10001492,60.34,7,0,15.6884,09-12-2023,13-12-2023,Standard Class,KB-16585,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,2023,12,2023-12,0.26
US-2017-156909,FUR-CH-10002774,71.372,2,0.3,-1.0196,16-07-2024,18-07-2024,Second Class,SF-20065,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2024,7,2024-07,-0.014285714
CA-2015-106320,FUR-TA-10000577,1044.63,3,0,240.2649,25-09-2022,30-09-2022,Standard Class,EB-13870,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Emily Burns,Consumer,United States,Orem,Utah,84057,West,2022,9,2022-09,0.23
CA-2016-121755,OFF-BI-10001634,11.648,2,0.2,4.2224,16-01-2023,20-01-2023,Second Class,EH-13945,Office Supplies,Binders,Wilson Jones Active Use Binders,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,2023,1,2023-01,0.3625
CA-2016-121755,TEC-AC-10003027,90.57,3,0,11.7741,16-01-2023,20-01-2023,Second Class,EH-13945,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,2023,1,2023-01,0.13
US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,17-09-2022,21-09-2022,Standard Class,TB-21520,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,-0.54
US-2015-150630,OFF-BI-10000474,9.618,2,0.7,-7.0532,17-09-2022,21-09-2022,Standard Class,TB-21520,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,-0.733333333
US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.525,17-09-2022,21-09-2022,Standard Class,TB-21520,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,0.125
US-2015-150630,OFF-EN-10001509,3.264,2,0.2,1.1016,17-09-2022,21-09-2022,Standard Class,TB-21520,Office Supplies,Envelopes,Poly String Tie Envelopes,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,0.3375
US-2015-150630,OFF-AR-10004042,86.304,6,0.2,9.7092,17-09-2022,21-09-2022,Standard Class,TB-21520,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,0.1125
US-2015-150630,OFF-BI-10001525,6.858,6,0.7,-5.715,17-09-2022,21-09-2022,Standard Class,TB-21520,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,-0.833333333
US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.546,17-09-2022,21-09-2022,Standard Class,TB-21520,Office Supplies,Art,Lumber Crayons,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2022,9,2022-09,0.225
CA-2017-107727,OFF-PA-10000249,29.472,3,0.2,9.9468,19-10-2024,23-10-2024,Second Class,MA-17560,Office Supplies,Paper,Easy-staple paper,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,2024,10,2024-10,0.3375
CA-2016-117590,TEC-PH-10004977,1097.544,7,0.2,123.4737,08-12-2023,10-12-2023,First Class,GH-14485,Technology,Phones,GE 30524EE4,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,2023,12,2023-12,0.1125
